Property_Title,Address,Reviewed_Status,Most_Recent_Status,Source,Market,Occupancy,Flood,Street_Address,City,State,Zip,Property_Type,Highway,Train,Tax_Rate,SQFT_Basement,HTW,Pool,Commercial,Water,Sewage,Year_Built,SQFT_MU,SQFT_Total,Parking,Bed,Bath,BasementYesNo,Layout,Net_Yield,IRR,Rent_Restricted,Neighborhood_Rating,Previous_Rent,List_Price,Zestimate,ARV,Expected_Rent,Rent_Zestimate,Low_FMR,High_FMR,HOA,Underwriting_Rehab,Rehab_Calculation,Paint,Flooring_Flag,Foundation_Flag,Roof_Flag,HVAC_Flag,Kitchen_Flag,Bathroom_Flag,Appliances_Flag,Windows_Flag,Landscaping_Flag,Trashout_Flag,Latitude,Longitude,Subdivision,Taxes,Redfin_Value,Selling_Reason,Seller_Retained_Broker,HOA_Flag,Final_Reviewer,School_Average
"05766 Mercado Road Lisaton, NH 16076","05766 Mercado Road Lisaton, NH 16076",Accepted Offer,Cancelled,Opendoor,Dallas,,Minimal Flood,05766 Mercado Road,Lisaton,NH,16076,Condo,Far,Near,1.28,1119,,Yes,,,City,2019,2727,6334,Street,2,2,No,Ranch,4.1,7.19,Yes,1,2962,237449,440670,251233,3183,2930,1044,2225,164,95623,79371,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,33.723556,-96.157511,Rest,2438,597731,Investor Sale,Yes,,Samantha Pierce,5.31
"913 Bill Point Suite 878 North Austinside, LA 97521","913 Bill Point Suite 878 North Austinside, LA 97521",Closed,Closed,MLS,Tampa,No,Flood Zone,913 Bill Point Suite 878,North Austinside,LA,97521,SFR,,Near,2.51,1045,,No,,,Septic,1965,3297,7586,Driveway,6,1,No,Colonial,11.96,17.76,Yes,1,2886,327165,251565,371896,2382,1368,1943,1594,396,50800,43021,No,Yes,No,,Yes,No,No,,Yes,Yes,,34.198473,-80.491849,Stravenue,3114,378832,Job Transfer,No,Yes,David Thompson,5.75
"54508 Davies Crossroad Sherryville, KS 98322","54508 Davies Crossroad Sherryville, KS 98322",Cancelled,Closed,Broker,Dallas,Yes,Minimal Flood,54508 Davies Crossroad,Sherryville,KS,98322,Duplex,Far,Near,1.54,1715,No,Yes,,City,,1963,1613,9418,Street,4,4,,Ranch,8.15,5.5,No,2,977,236396,124472,414671,1605,2533,1941,2017,192,44351,23780,,No,Yes,Yes,Yes,No,,,No,No,,38.837914,-91.426484,Club,6623,549745,,Yes,,Jessica Lin,9.88
"953 Pittman Crescent Suite 852 Lake Brittanyberg, TX 79152","953 Pittman Crescent Suite 852 Lake Brittanyberg, TX 79152",Closed,Closed,MLS,Atlanta,Yes,,953 Pittman Crescent Suite 852,Lake Brittanyberg,TX,79152,Townhouse,,,3.21,1465,,No,,Well,,1951,1688,2155,Garage,3,3,Yes,Ranch,7.84,6.47,Yes,5,3381,109989,402588,155918,1472,1104,856,2281,367,74688,71194,,,No,,No,Yes,,Yes,No,Yes,No,37.52291,-100.734264,Mount,9981,477063,Investor Sale,,No,Amit Kumar,9.86
"653 Brown Ways Yvonneland, CA 08734","653 Brown Ways Yvonneland, CA 08734",Reviewed,Closed,Bulk,Dallas,Yes,Flood Zone,653 Brown Ways,Yvonneland,CA,8734,SFR,Far,,2.44,26,,No,No,,City,2001,1475,7280,Garage,1,4,No,Split,7.69,18.83,No,5,2925,492281,473014,377719,3094,1306,1067,3164,161,96602,46410,,Yes,No,,No,Yes,Yes,Yes,No,,,41.596748,-108.870856,Keys,2895,358894,Investor Sale,,No,Jason Miller,4.84
"50684 Ruben Passage Suite 733 Cindyland, LA 45777","50684 Ruben Passage Suite 733 Cindyland, LA 45777",New,Cancelled,MLS,Dallas,No,Flood Zone,50684 Ruben Passage Suite 733,Cindyland,LA,45777,Duplex,Far,Far,3.4,1834,,Yes,,City,City,1992,2153,9744,Driveway,6,4,Yes,,11.54,8.08,No,4,1855,219625,120089,401565,3238,3655,1784,2469,353,85089,34373,Yes,Yes,,No,,No,Yes,,No,Yes,,34.168897,-79.588544,Meadow,5650,594057,,,Yes,Emily Patel,6.63
"49743 Richardson Mill Ballburgh, UT 51968","49743 Richardson Mill Ballburgh, UT 51968",Offered,Closed,MLS,Dallas,Yes,Flood Zone,49743 Richardson Mill,Ballburgh,UT,51968,Townhouse,Far,,1.11,1275,,,Yes,,Septic,1983,798,3679,,5,1,,Ranch,10.04,11.52,No,3,867,223383,490120,210314,2347,1293,734,2275,190,76794,51379,Yes,,Yes,No,Yes,,Yes,No,Yes,,,34.902263,-94.34847,Plaza,8209,220385,,Yes,,Jason Miller,4.36
"997 Moody Harbors Suite 836 Perkinsberg, OK 49287","997 Moody Harbors Suite 836 Perkinsberg, OK 49287",Offered,Cancelled,Internal,Florida,Yes,,997 Moody Harbors Suite 836,Perkinsberg,OK,49287,SFR,Far,Near,2.12,1365,,,No,City,City,1963,2250,3811,Garage,6,2,No,,3.5,13.3,No,2,2962,334161,296085,196504,1450,3954,833,2434,271,57829,99115,,,No,,Yes,No,Yes,No,No,,,40.201628,-80.666996,Highway,4918,214973,Downsizing,No,No,Samantha Pierce,5.21
"2372 Moore Mountains Port Jenna, MT 79065","2372 Moore Mountains Port Jenna, MT 79065",Closed,Available,Internal,Dallas,No,,2372 Moore Mountains,Port Jenna,MT,79065,Condo,,Far,1.66,1684,,Yes,,Well,City,1964,679,4707,Driveway,5,4,,Split,4.88,18.09,No,3,3156,348114,534819,523237,2955,3583,1879,2704,89,36588,17030,No,,,,No,No,,Yes,No,No,No,39.579453,-101.412394,Mills,5491,172326,Downsizing,,No,Emily Patel,9.7
"565 Richmond Estates Lindamouth, OK 66382","565 Richmond Estates Lindamouth, OK 66382",Closed,Closed,MLS,Dallas,Yes,Flood Zone,565 Richmond Estates,Lindamouth,OK,66382,Townhouse,Near,Near,1.93,297,Yes,No,Yes,City,Septic,1961,2336,6919,Street,2,2,No,Ranch,4.43,18.53,No,2,2929,135189,349717,158441,1048,3799,1983,1277,21,37227,47782,Yes,No,No,,,,Yes,,,,,33.554897,-97.427412,Plains,9984,219903,Investor Sale,Yes,Yes,Michael Chen,9.06
